Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região;Microrregião
SC;4207759;Iraceminha;3572,670797;4072,070044;3894,979618;4569,810297;6328,692394;6660,306783;5240,742342;5336,67101;5104,899631;6543,151551;6756,161706;6931,694924;SUL;Chapecó
SC;4207809;Irani;3490,08591;3790,831555;3703,080644;3917,578891;4294,453587;4894,656212;4725,672281;4563,90795;5063,233433;5397,715714;5267,424114;5796,390734;SUL;Concórdia
SC;4207858;Irati;3182,224672;3964,04;4501,57876;4826,20366;5525,966961;5105,26499;5066,609303;4931,292091;6184,979999;6770,22334;6413,59249;5649,569561;SUL;Chapecó
SC;4207908;Irineópolis;4582,897827;5482,815618;5544,387866;6666,165812;8157,764005;8579,603162;7336,638045;6214,839047;6736,869726;8264,099255;8401,480137;8786,595259;SUL;Canoinhas
SC;4208005;Itá;7141,976094;7349,141009;5478,741124;6702,950946;10400,64994;11655,54479;9349,849022;7752,129214;12175,44608;14018,83336;13773,65666;13861,38283;SUL;Concórdia
SC;4208104;Itaiópolis;4242,583845;5259,413838;5626,863875;5606,992888;6585,145829;6649,073852;6373,517941;6314,117417;6635,174151;7231,123193;7923,176698;8479,53947;SUL;Canoinhas
SC;4208203;Itajaí;11171,08658;11534,64172;13833,05544;17049,53124;18542,52457;21364,76395;23041,07913;22241,48998;27426,04833;30978,96093;30558,118;37071,38592;SUL;Itajaí
SC;4208302;Itapema;6842,567474;7171,034109;5643,987792;5013,462999;5170,867458;5155,149016;5279,810018;5407,786023;5996,421335;6365,334192;6547,026028;6061,567207;SUL;Itajaí
SC;4208401;Itapiranga;7640,680228;9111,455711;12678,03026;11394,33135;12973,7449;14905,8105;13983,55994;13253,78527;12784,72167;16743,83567;15471,36451;14627,5098;SUL;São Miguel do Oeste
SC;4208450;Itapoá;5293,859691;5749,462239;4209,599524;4351,652902;4459,572731;4230,212727;4369,795593;4829,397813;5659,490877;5538,740886;5740,094173;5194,900154;SUL;Joinville
SC;4208500;Ituporanga;6271,068325;7357,111227;7109,156772;6972,27515;7806,28045;8079,095671;7858,223259;8347,99746;8803,425811;9318,187798;9222,192671;9528,48013;SUL;Ituporanga
